media_path,caption
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1199971765284042-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1199971765284042-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1199971765284042-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1199971765284042-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1199971765284042-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1199971765284042-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1256976252680327-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1256976252680327-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1256976252680327-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1256976252680327-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1256976252680327-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1256976252680327-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1689417079061469-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1689417079061469-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1689417079061469-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1689417079061469-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1689417079061469-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/1689417079061469-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-007.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2057624615188633-Scene-008.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2125476178020928-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2125476178020928-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2125476178020928-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2125476178020928-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2125476178020928-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2125476178020928-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2156378868455964-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2156378868455964-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2156378868455964-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2156378868455964-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2156378868455964-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/2156378868455964-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/3428533713973292-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/3428533713973292-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/3428533713973292-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/3428533713973292-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/3428533713973292-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/770908555771949-Scene-007.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/797363763429829-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/797363763429829-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/797363763429829-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/797363763429829-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/797363763429829-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/797363763429829-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/820428490726045-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/820428490726045-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/820428490726045-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/820428490726045-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/820428490726045-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/820428490726045-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/961517603217527-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/961517603217527-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/961517603217527-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/961517603217527-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/961517603217527-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/961517603217527-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DV4T00Tj8x8-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DV4T00Tj8x8-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DV4T00Tj8x8-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DV4T00Tj8x8-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DV4T00Tj8x8-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DV4T00Tj8x8-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVofVseCBwz-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVofVseCBwz-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVofVseCBwz-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVofVseCBwz-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVofVseCBwz-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVofVseCBwz-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVwVGuUkmHi-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVwVGuUkmHi-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVwVGuUkmHi-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVwVGuUkmHi-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVwVGuUkmHi-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DVwVGuUkmHi-Scene-006.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DXGh6OaEnBG-Scene-001.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DXGh6OaEnBG-Scene-002.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DXGh6OaEnBG-Scene-003.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DXGh6OaEnBG-Scene-004.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DXGh6OaEnBG-Scene-005.mp4,mashup scene clip
/home/johndpope/Documents/GitHub/OmniTransfer-hack/facebook_reels/mashup_training/raw_clips/instagram_DXGh6OaEnBG-Scene-006.mp4,mashup scene clip
